"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MAPRE2",2.46762645163055e-14,0.341554236510532,0.145,0.094,9.25063804187259e-10
"RGS1",3.16325101109793e-14,0.801243035343604,0.446,0.401,1.18583953904039e-09
"LY9",3.30454446474463e-14,0.3850995209484,0.26,0.199,1.23880762894347e-09
"SNX2",1.18472685817953e-13,0.325821262290342,0.448,0.393,4.44130404594341e-09
"ATP5PB",1.57712500822616e-13,0.384227506898122,0.208,0.151,5.91232623083823e-09
"MT-ATP8",1.72410815981569e-13,0.451848053878347,0.177,0.122,6.46333666951705e-09
"STK17B",1.82280240673422e-13,0.309009705467751,0.531,0.495,6.83332166236523e-09
"SKIL",2.24263464961043e-13,0.323480976212953,0.241,0.18,8.40718877445957e-09
"AC079767.4",3.8613012072977e-13,0.364255168327782,0.177,0.12,1.44752459659176e-08
"TPM3",3.9422389983082e-13,0.286690158444737,0.6,0.568,1.47786655568578e-08
"CD82",4.06052807669382e-13,0.312999523552822,0.384,0.319,1.52221076539098e-08
"CCR6",1.35086885758563e-12,0.269219951103145,0.226,0.164,5.06413717331701e-08
"GRAP",1.44052279788622e-12,0.250697379050682,0.121,0.076,5.40023186471586e-08
"HNRNPF",1.51580178789436e-12,0.342582312321116,0.482,0.446,5.68243774245838e-08
"KLF2",2.34243854539719e-12,0.48197751903316,0.485,0.439,8.78133361898499e-08
"CNBP",3.42977514847734e-12,0.27437369352926,0.603,0.603,1.28575410766118e-07
"TNFRSF13C",4.36323119744122e-12,0.271397849273425,0.52,0.464,1.63568811129677e-07
"DNPH1",4.37524575585996e-12,0.422533635772989,0.311,0.265,1.64019212895678e-07
"ZBTB20",6.31000753208158e-12,0.358183964114746,0.246,0.191,2.36549562362674e-07
"PSME1",8.99591942606682e-12,0.251840812455316,0.715,0.738,3.37239027444393e-07
"RTRAF",1.71292839577082e-11,0.331813469585589,0.213,0.16,6.42142597006564e-07
