"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FCRL4",0,1.61422353572974,0.424,0.011,0
"CCR1",0,0.804198498518115,0.221,0.018,0
"ZBED2",0,0.772301915373924,0.217,0.02,0
"OSTN-AS1",0,1.20014877260642,0.29,0.017,0
"ACTB",0,1.20461234718286,0.999,0.985,0
"TMSB4X",0,0.931261884740796,0.999,0.995,0
"GPR34",0,1.05566055179787,0.286,0.027,0
"DUSP4",0,1.26563617198619,0.374,0.072,0
"GAPDH",0,1.31422352437593,0.987,0.873,0
"TESC",0,1.13966067644683,0.375,0.065,0
"TNFSF11",0,0.421142852871707,0.106,0.004,0
"CTSH",0,1.34658944335702,0.851,0.468,0
"PFN1",0,1.15185084866776,0.996,0.929,0
"ACTG1",0,1.373844780009,0.991,0.889,0
"MYL9",0,0.798863866192451,0.224,0.023,0
"ACP5",0,1.41829826612766,0.722,0.254,0
"CAPG",1.74888533558361e-307,1.27076910168124,0.728,0.3,6.55622134603584e-303
"HCK",7.43835794367847e-303,0.739595015274664,0.253,0.037,2.78849162592618e-298
"HLA-DPB1",4.02840406005534e-286,0.951904984092025,0.994,0.895,1.51016811403355e-281
"HLA-DPA1",7.30744682797468e-279,0.877678808235794,0.998,0.931,2.73941566687115e-274
"RAB31",2.78428104336934e-261,0.850223967268166,0.349,0.077,1.0437712775383e-256
"ARPC2",3.3143991530627e-260,1.02253581525069,0.936,0.787,1.24250195450015e-255
"GSN",5.58564430763666e-253,0.949968154442765,0.326,0.072,2.09394633804683e-248
"ENTPD1",7.45602400057028e-244,1.0523246829045,0.516,0.175,2.79511427733379e-239
"TNFRSF13B",3.73810250171762e-243,1.00467086091275,0.634,0.24,1.4013398658439e-238
"HLA-DQA1",5.3600540926646e-242,0.969999538117543,0.97,0.797,2.00937707825811e-237
"MS4A1",2.18490326187775e-239,1.04808526482817,0.975,0.781,8.1907653481273e-235
"CLECL1",1.14701066971976e-238,0.955577152164488,0.55,0.186,4.29991359864543e-234
"CLIC1",9.33343017132332e-230,0.958626160092473,0.927,0.728,3.49891630262568e-225
"CCDC50",2.64224003086183e-229,1.05682136242387,0.601,0.24,9.90522942769484e-225
"HLA-DQB1",1.57272796268937e-225,0.882019733921738,0.979,0.867,5.89584258652989e-221
"CD99",9.97561691231105e-220,1.06545896699011,0.826,0.504,3.73965926808716e-215
"C12orf75",9.96110484516695e-214,1.40071503694179,0.496,0.182,3.73421898435619e-209
"MIR155HG",1.5364985705692e-213,1.01915452201926,0.358,0.096,5.76002584134983e-209
"GPR82",2.24406437812299e-213,0.635988377712733,0.246,0.047,8.41254854070747e-209
"CALM2",2.44229618103602e-211,1.1481031814071,0.898,0.697,9.15567992346784e-207
"SH3BGRL3",9.59316619974824e-209,1.01476284224809,0.954,0.812,3.59628614496162e-204
"FTH1",8.79750544194525e-206,0.758062076638317,0.996,0.988,3.29800884007643e-201
"ARPC5",6.96401769672945e-202,1.07895444863232,0.782,0.466,2.61067095414993e-197
"CFL1",3.15838113633965e-200,0.792370088153387,0.968,0.895,1.18401392039101e-195
"HCST",4.22582987305536e-198,1.1155129388937,0.637,0.298,1.58417910281099e-193
"LSP1",6.64610756476717e-197,1.01178163034249,0.875,0.66,2.49149280387992e-192
"CCR6",9.08547247255834e-195,0.875906927599675,0.463,0.154,3.40596192051267e-190
"COTL1",1.43764322552026e-193,1.14927965024334,0.82,0.546,5.38943692383035e-189
"S100A11",1.21951668889613e-192,1.15306685309077,0.649,0.323,4.5717241633338e-188
"RGS1",1.35822416838143e-192,1.61866606592759,0.711,0.39,5.0917107624283e-188
