"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"JUN",0,2.25189969751967,0.936,0.677,0
"DUSP2",0,2.67388234420929,0.741,0.25,0
"EGR1",0,2.49021852455641,0.583,0.094,0
"CD69",0,2.3745423876088,0.921,0.551,0
"NFKBIA",0,2.28565926143087,0.894,0.517,0
"IER2",0,2.36901046335357,0.893,0.511,0
"FOSB",0,2.15854278247652,0.776,0.317,0
"PPP1R15A",0,1.95244812339697,0.913,0.517,0
"JUNB",6.43413948721851e-302,1.69134475984907,0.977,0.768,2.41203021096848e-297
"KLF6",2.32902713822085e-291,1.91723560844636,0.921,0.636,8.73105693576234e-287
"DUSP1",4.26073963395483e-275,1.78137301473818,0.953,0.76,1.59726607397699e-270
"FOS",2.25725052867797e-273,2.02114565194549,0.918,0.65,8.46198078190797e-269
"ZFP36",1.43778999495562e-269,2.04630511479865,0.888,0.587,5.38998713308962e-265
"NR4A2",2.94859616130025e-255,1.68326187266778,0.531,0.155,1.10536972894824e-250
"TSC22D3",1.71783465680914e-197,1.31131321241854,0.942,0.839,6.43981856144612e-193
"BCL2A1",6.01665942260112e-166,1.46022101872327,0.55,0.234,2.25552528434471e-161
"EIF1",8.7729283532186e-155,0.776772543903048,0.993,0.979,3.28879538105459e-150
"NR4A1",2.63405593817667e-154,1.49572575194655,0.341,0.099,9.8745489010367e-150
"CH17-373J23.1",7.83341012402955e-148,1.74428889264584,0.348,0.105,2.9365887872962e-143
"H3F3B",1.18369848624404e-137,0.927580500695502,0.961,0.911,4.43744888523165e-133
"KDM6B",3.60483397312647e-124,0.893309723472687,0.278,0.077,1.35138015984565e-119
"NFKBID",9.53046784157521e-123,1.09881788891518,0.369,0.128,3.57278178444972e-118
"CD83",1.6513306668431e-119,1.60961429598004,0.624,0.354,6.19050840386141e-115
"JUND",2.08390916148476e-118,1.10698489394303,0.568,0.296,7.81215866457408e-114
"B2M",5.24775677689748e-118,0.427685379708772,1,0.999,1.96727906052333e-113
"UBC",3.45679281583535e-106,0.747432252786562,0.945,0.901,1.29588249080036e-101
"EGR2",4.50478808841859e-104,0.724124527283406,0.14,0.025,1.68875495858636e-99
"TUBA1A",1.07413871835538e-95,1.16750970650493,0.518,0.267,4.02673122737067e-91
"IER5",4.60793390302491e-95,0.913761951781799,0.401,0.172,1.72742226156598e-90
"KLF2",4.6935641459883e-95,1.46091703517892,0.648,0.434,1.75952332704809e-90
"TNF",1.79791172830938e-94,1.05580112535601,0.217,0.06,6.7400114870862e-90
"DDX5",6.86172758767685e-94,0.722639207265828,0.922,0.853,2.5723244380683e-89
"PNRC1",2.2534566128007e-88,0.829640251859577,0.793,0.642,8.44775815006726e-84
"CTD-3252C9.4",4.05583402156801e-86,0.756720736486734,0.19,0.05,1.52045105800542e-81
"CXCR4",2.30378815116926e-84,0.898414279912373,0.892,0.803,8.6364410211033e-80
"MCL1",6.40045880133253e-75,1.07988006439943,0.518,0.323,2.39940399544354e-70
"SERTAD1",9.74922108101455e-74,1.04429757735298,0.295,0.121,3.65478799885073e-69
"CSRNP1",1.73711846177705e-70,0.817689844478604,0.291,0.12,6.51210968950982e-66
"HLA-DQB1",4.00476542776507e-69,0.528172910545123,0.97,0.869,1.50130646356057e-64
"TNFRSF13B",5.88193089455827e-65,0.84382847178513,0.459,0.251,2.205018253752e-60
