"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"191","DN","GO:0033632","regulation of cell-cell adhesion mediated by integrin","2/119","11/18614",0.00214660756119177,0.0449714284069676,0.0395653667331241,"6352/10563",2
"192","DN","GO:0097250","mitochondrial respirasome assembly","2/119","11/18614",0.00214660756119177,0.0449714284069676,0.0395653667331241,"647087/55969",2
"195","GCB","GO:0015986","proton motive force-driven ATP synthesis","15/50","76/18614",6.76515985662453e-25,7.92876735196395e-22,6.69394764760744e-22,"10632/514/517/518/521/522/9551/506/498/513/515/509/10476/516/539",15
"201","GCB","GO:1902600","proton transmembrane transport","15/50","143/18614",1.61643971135139e-20,2.70638191671976e-18,2.28489222356437e-18,"10632/514/517/518/521/522/9551/506/498/513/515/509/10476/516/539",15
"204","GCB","GO:0046034","ATP metabolic process","16/50","219/18614",2.68199247065411e-19,3.14329517560662e-17,2.65376097096302e-17,"10632/514/517/518/521/93974/522/9551/506/498/513/515/509/10476/516/539",16
"218","GCB","GO:0009060","aerobic respiration","13/50","196/18614",3.30511313305106e-15,1.6139969133066e-13,1.36263436187193e-13,"10632/514/521/522/9551/506/498/29997/513/515/509/10476/539",13
"222","GCB","GO:0019079","viral genome replication","4/50","129/18614",0.000396150543249193,0.0165817298817162,0.0139993049118136,"10581/8519/1654/5094",4
"223","GCB","GO:1903052","positive regulation of proteolysis involved in protein catabolic process","4/50","137/18614",0.000497443275848033,0.0201035696308239,0.0169726562358312,"10399/6923/93974/29997",4
"226","GCB","GO:0035455","response to interferon-alpha","2/50","18/18614",0.00105259144848703,0.0385511618008374,0.0325472355782173,"10581/8519",2
"227","GCB","GO:1900227","positive regulation of NLRP3 inflammasome complex assembly","2/50","20/18614",0.0013026618084714,0.0462642315008629,0.0390590781487436,"647087/1654",2
"228","GCB","GO:0051882","mitochondrial depolarization","2/50","21/18614",0.00143731649431189,0.0481295694666723,0.0406339099143812,"10399/93974",2
"229","GCB","GO:1900118","negative regulation of execution phase of apoptosis","2/50","21/18614",0.00143731649431189,0.0481295694666723,0.0406339099143812,"100463486/100462977",2
"230","IgM-only","GO:0015986","proton motive force-driven ATP synthesis","11/20","76/18614",4.02538272278061e-22,2.05697057134089e-19,1.46608676008641e-19,"514/517/10632/521/513/539/518/498/9551/506/522",11
"236","IgM-only","GO:1902600","proton transmembrane transport","11/20","143/18614",5.89062098383989e-19,3.84843189202602e-17,2.74293425613555e-17,"514/517/10632/521/513/539/518/498/9551/506/522",11
"237","IgM-only","GO:0046034","ATP metabolic process","12/20","219/18614",6.02494229671392e-19,3.84843189202602e-17,2.74293425613555e-17,"514/517/10632/521/513/539/93974/518/498/9551/506/522",12
"250","IgM-only","GO:0009060","aerobic respiration","10/20","196/18614",2.24286100531264e-15,5.45762844626077e-14,3.88987422475276e-14,"514/29997/10632/521/513/539/498/9551/506/522",10
"257","IgM-only","GO:1903052","positive regulation of proteolysis involved in protein catabolic process","4/20","137/18614",1.24162258236908e-05,0.000226596121282358,0.000161504290789362,"10399/29997/6923/93974",4
"261","IgM-only","GO:0051882","mitochondrial depolarization","2/20","21/18614",0.000227523809716202,0.00363327083640561,0.00258958020269099,"10399/93974",2
"263","IgM-only","GO:2000114","regulation of establishment of cell polarity","2/20","25/18614",0.000324197263570903,0.00487249416719799,0.00347282517633228,"10399/9750",2
"270","IgM-only","GO:0051898","negative regulation of protein kinase B signaling","2/20","59/18614",0.00180896461897215,0.0225458761047504,0.0160693647795729,"10399/29997",2
"272","IgM-only","GO:0043536","positive regulation of blood vessel endothelial cell migration","2/20","75/18614",0.00290384435761272,0.0337241924259113,0.0240366064051196,"498/506",2
"274","IgM-only","GO:0001937","negative regulation of endothelial cell proliferation","2/20","77/18614",0.00305792032905482,0.0347243841810447,0.024749483832818,"93974/498",2
"275","Memory","GO:0015986","proton motive force-driven ATP synthesis","15/117","76/18614",7.71708700518895e-19,1.58663308826685e-15,1.33952383911122e-15,"10632/517/514/513/521/506/518/9551/522/539/498/515/516/10476/509",15
"283","Memory","GO:0046034","ATP metabolic process","18/117","219/18614",2.19814954958629e-15,5.02155052661046e-13,4.23947205528397e-13,"10632/517/514/513/521/93974/506/518/9551/522/539/498/515/516/10476/509/2597/26137",18
"287","Memory","GO:1902600","proton transmembrane transport","15/117","143/18614",1.46864439391536e-14,2.32271759529998e-12,1.96096729195662e-12,"10632/517/514/513/521/506/518/9551/522/539/498/515/516/10476/509",15
"288","Memory","GO:0050792","regulation of viral process","15/117","165/18614",1.24477429235221e-13,1.82803996076868e-11,1.54333293841263e-11,"972/8519/6772/10581/4061/3669/6352/9636/3956/4261/103/1654/10346/4599/5610",15
"291","Memory","GO:0006119","oxidative phosphorylation","13/117","148/18614",9.07306332998655e-12,1.09039776968076e-09,9.2057440211119e-10,"10632/514/513/521/506/9551/522/539/498/515/10476/509/387",13
"292","Memory","GO:0009615","response to virus","19/117","408/18614",9.54628397580433e-12,1.09039776968076e-09,9.2057440211119e-10,"58515/8519/10964/6772/10581/3659/5094/3669/6352/9636/2537/3665/10379/103/1654/10346/4599/5610/1984",19
"315","Memory","GO:0007159","leukocyte cell-cell adhesion","15/117","415/18614",5.1662312607903e-08,2.59067596882557e-06,2.18719264417027e-06,"9750/567/972/58515/6279/6280/3118/60/3659/3113/57492/5880/6352/387/3956",15
"318","Memory","GO:0032481","positive regulation of type I interferon production","7/117","62/18614",1.19538131003545e-07,5.58569084871111e-06,4.71575067045086e-06,"6772/3659/2597/9636/3665/1654/26137",7
"319","Memory","GO:0045862","positive regulation of proteolysis","13/117","365/18614",5.04498001019018e-07,2.30499531132245e-05,1.94600515480786e-05,"10399/29997/6923/93974/6279/6280/1512/11337/5720/5721/387/6281/1654",13
"320","Memory","GO:0050863","regulation of T cell activation","13/117","377/18614",7.26431164676223e-07,3.2468314664659e-05,2.74115558478511e-05,"9750/567/972/58515/3118/60/3659/3113/57492/5880/6352/387/3956",13
"322","Memory","GO:1990266","neutrophil migration","8/117","128/18614",1.46105772014681e-06,6.25819723462885e-05,5.28351793974144e-05,"9750/972/58515/6279/6280/5880/6352/4267",8
"323","Memory","GO:0035456","response to interferon-beta","5/117","32/18614",1.58301307771462e-06,6.64219364853318e-05,5.60770905510506e-05,"8519/6772/10581/3659/54739",5
"325","Memory","GO:0140888","interferon-mediated signaling pathway","7/117","100/18614",3.1966765368679e-06,0.000128495011992241,0.000108482630951877,"8519/6772/10581/3659/9636/3665/103",7
"326","Memory","GO:0017014","protein nitrosylation","4/117","17/18614",3.31237141808792e-06,0.000128495011992241,0.000108482630951877,"6279/6280/2597/7295",4
"327","Memory","GO:0018119","peptidyl-cysteine S-nitrosylation","4/117","17/18614",3.31237141808792e-06,0.000128495011992241,0.000108482630951877,"6279/6280/2597/7295",4
"336","Memory","GO:0019882","antigen processing and presentation","7/117","114/18614",7.64366177906738e-06,0.000251757886853462,0.0002125480009325,"567/972/3118/1512/3113/5720/6890",7
"347","Memory","GO:0030218","erythrocyte differentiation","7/117","130/18614",1.80680758429033e-05,0.000508876218260399,0.000429621587093691,"93974/567/6772/9636/103/10320/677",7
"356","Memory","GO:0098869","cellular oxidant detoxification","6/117","99/18614",3.77439697937603e-05,0.000946360998731356,0.000798970554427609,"9403/51714/6415/6280/373156/7295",6
"383","Memory","GO:0021762","substantia nigra development","4/117","44/18614",0.000165747751132875,0.00312639794797422,0.00263947891470894,"522/515/60/387",4
"392","Memory","GO:0002544","chronic inflammatory response","3/117","20/18614",0.000255196078251538,0.00440910199063161,0.00372240896096228,"6279/6280/6352",3
"399","Memory","GO:0051882","mitochondrial depolarization","3/117","21/18614",0.000296367201627378,0.00483347643753568,0.00408068945601902,"10399/93974/2537",3
"400","Memory","GO:1900118","negative regulation of execution phase of apoptosis","3/117","21/18614",0.000296367201627378,0.00483347643753568,0.00408068945601902,"100463486/100463498/100462977",3
"407","Memory","GO:2000114","regulation of establishment of cell polarity","3/117","25/18614",0.000503209918754491,0.00777894430796416,0.00656741714306415,"10399/9750/5908",3
"411","Memory","GO:0045445","myoblast differentiation","5/117","110/18614",0.000651733416674614,0.00978075842834311,0.00825745988548935,"9750/60/57492/3956/677",5
"413","Memory","GO:0002831","regulation of response to biotic stimulus","10/117","463/18614",0.00068431904129703,0.0101220140209115,0.00854556682392127,"29997/58515/6772/3659/5094/6352/9636/3665/103/1654",10
"427","Memory","GO:0051099","positive regulation of binding","6/117","176/18614",0.000862762807716279,0.011593727664475,0.00978806928052386,"9750/567/9802/10923/6281/7295",6
"448","Memory","GO:0140632","inflammasome complex assembly","3/117","36/18614",0.00148553425593199,0.0175532093689436,0.0148193949669199,"647087/1654/5610",3
"453","Memory","GO:0010269","response to selenium ion","2/117","11/18614",0.00207609669954164,0.0238461162807688,0.0201322167453347,"140606/6415",2
"456","Memory","GO:0016064","immunoglobulin mediated immune response","5/117","145/18614",0.00222999080913774,0.0251915445252044,0.0212681020489771,"567/972/3118/3113/3665",5
"461","Memory","GO:0014002","astrocyte development","3/117","43/18614",0.00248698693865852,0.0270542071210683,0.0228406653402835,"6279/6280/7431",3
"463","Memory","GO:0071763","nuclear membrane organization","3/117","43/18614",0.00248698693865852,0.0270542071210683,0.0228406653402835,"2010/7329/23175",3
"479","Memory","GO:0002679","respiratory burst involved in defense response","2/117","15/18614",0.00389887918034808,0.0391029053404666,0.0330128460508035,"79415/58515",2
"486","Memory","GO:0043129","surfactant homeostasis","2/117","17/18614",0.00500872726305642,0.0483471514218028,0.0408173523932791,"9476/1512",2
"488","MZB-1","GO:0015986","proton motive force-driven ATP synthesis","16/94","76/18614",3.97363481387815e-22,6.33397389332178e-19,5.69693749105479e-19,"514/517/10632/513/518/506/521/515/9551/498/522/10476/516/509/539/527",16
"494","MZB-1","GO:1902600","proton transmembrane transport","16/94","143/18614",1.71973534963296e-17,3.91608306759276e-15,3.52222488150389e-15,"514/517/10632/513/518/506/521/515/9551/498/522/10476/516/509/539/527",16
"499","MZB-1","GO:0046034","ATP metabolic process","17/94","219/18614",8.03602770327307e-16,1.06745234658477e-13,9.60093836127887e-14,"514/517/10632/513/518/93974/506/521/515/9551/498/522/10476/516/509/539/527",17
"506","MZB-1","GO:0006119","oxidative phosphorylation","13/94","148/18614",5.15893750912265e-13,4.3280770471271e-11,3.89278276311637e-11,"514/10632/513/506/521/515/9551/498/522/10476/509/539/387",13
"514","MZB-1","GO:0002181","cytoplasmic translation","12/94","159/18614",2.5922772155834e-11,1.53040365986665e-09,1.37648404195891e-09,"10399/6171/6156/2197/6175/6229/6158/6130/6132/6228/9045/6159",12
"516","MZB-1","GO:0046596","regulation of viral entry into host cell","5/94","48/18614",4.25432609078644e-06,0.000233841234093572,0.000210322763544506,"972/8519/10581/4061/10346",5
"521","MZB-1","GO:1902624","positive regulation of neutrophil migration","4/94","34/18614",2.5182374570376e-05,0.00118060897250528,0.00106186978838551,"972/9750/58515/5880",4
"523","MZB-1","GO:0021762","substantia nigra development","4/94","44/18614",7.09220492883326e-05,0.00314027073793339,0.00282443950674588,"515/522/387/60",4
"528","MZB-1","GO:1900118","negative regulation of execution phase of apoptosis","3/94","21/18614",0.000155285458022237,0.00603719561188891,0.00543000754367873,"100463486/100463498/100462977",3
"532","MZB-1","GO:0051238","sequestering of metal ion","3/94","26/18614",0.000298062545291414,0.0105580377154336,0.00949616810963522,"2495/2512/6279",3
"534","MZB-1","GO:2000272","negative regulation of signaling receptor activity","4/94","66/18614",0.00034593567203807,0.0116468313894148,0.0104754568793389,"100463486/100463498/100462977/4061",4
"538","MZB-1","GO:0045862","positive regulation of proteolysis","8/94","365/18614",0.000519952580112869,0.0162510669156846,0.0146166236143184,"10399/29997/6923/93974/11337/387/5720/6279",8
"540","MZB-1","GO:0035456","response to interferon-beta","3/94","32/18614",0.000556278918499239,0.0167303508695809,0.0150477038132267,"8519/10581/6772",3
"544","MZB-1","GO:0051607","defense response to virus","7/94","303/18614",0.000863672052743609,0.0241525131942686,0.0217233857033573,"8519/58515/10581/6772/5094/10964/10346",7
"550","MZB-1","GO:0045657","positive regulation of monocyte differentiation","2/94","10/18614",0.00110589546838144,0.0279809107396827,0.0251667439922392,"972/677",2
"553","MZB-1","GO:0007159","leukocyte cell-cell adhesion","8/94","415/18614",0.00119426095077501,0.0288432114475054,0.025942319217792,"972/9750/58515/5880/387/3118/6279/60",8
"556","MZB-1","GO:0010269","response to selenium ion","2/94","11/18614",0.00134720917325401,0.0311224843792303,0.027992355361891,"140606/6415",2
"561","MZB-1","GO:0019884","antigen processing and presentation of exogenous antigen","3/94","49/18614",0.00194213039577362,0.0418345385251776,0.0376270497730251,"972/5720/3118",3
"562","MZB-2","GO:0015986","proton motive force-driven ATP synthesis","16/106","76/18614",3.07805544813546e-21,5.23885037272655e-18,4.70780480646403e-18,"514/517/10632/513/518/9551/522/521/506/515/509/10476/516/498/539/527",16
