"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"738","Naive","GO:0051881","regulation of mitochondrial membrane potential","3/60","70/18614",0.00149493137545702,0.0215920371434997,0.0174283360401977,"10399/93974/8115",3
"749","Naive","GO:0001937","negative regulation of endothelial cell proliferation","3/60","77/18614",0.00196605490754347,0.0257571230089181,0.0207902474530188,"93974/498/6772",3
"751","Naive","GO:1900118","negative regulation of execution phase of apoptosis","2/60","21/18614",0.00206271861935283,0.0265365962922148,0.0214194109833224,"100463486/100463498",2
"763","Naive","GO:2000114","regulation of establishment of cell polarity","2/60","25/18614",0.00292244001715657,0.0334437250603289,0.0269946033768688,"10399/9750",2
"770","Naive","GO:0031334","positive regulation of protein-containing complex assembly","4/60","195/18614",0.00360405756101592,0.039291406977251,0.03171464738323,"10399/387/8115/9636",4
"774","Naive","GO:0002831","regulation of response to biotic stimulus","6/60","463/18614",0.00369030461302092,0.0393265297566708,0.0317429972604706,"29997/58515/6772/5094/3659/9636",6
"788","PB","GO:0015986","proton motive force-driven ATP synthesis","18/163","76/18614",2.84280174564853e-21,8.02238652622014e-18,6.52348190054083e-18,"514/10632/517/522/518/513/9551/516/521/498/506/10476/509/515/527/539/54539/4700",18
"794","PB","GO:1902600","proton transmembrane transport","20/163","143/18614",1.11054884515548e-18,4.47709834432683e-16,3.64059621419392e-16,"514/10632/517/522/518/513/9551/516/521/498/506/10476/509/515/527/539/9377/1351/7114/533",20
"799","PB","GO:0046034","ATP metabolic process","22/163","219/18614",2.70727505769993e-17,6.36660851069101e-15,5.17706984718057e-15,"514/10632/517/522/518/513/93974/9551/516/521/498/506/10476/509/515/527/2597/539/54539/7114/3458/4700",22
"800","PB","GO:0006119","oxidative phosphorylation","19/163","148/18614",4.4252953633369e-17,9.60629501179748e-15,7.81145254418982e-15,"514/10632/522/513/9551/521/498/506/10476/509/515/539/9377/54539/1351/1347/387/4700/51142",19
"815","PB","GO:0019835","cytolysis","6/163","23/18614",3.66915620871087e-08,3.69798529320788e-06,3.00705283270289e-06,"3002/3001/4818/4069/2999/5551",6
"816","PB","GO:0009615","response to virus","17/163","408/18614",1.15152654067996e-07,1.12055444751684e-05,9.11189785365629e-06,"58515/2537/8519/9636/3429/7353/6352/6772/10581/6351/10410/3665/4599/3553/11040/3458/5551",17
"817","PB","GO:0098869","cellular oxidant detoxification","9/163","99/18614",2.1417502869522e-07,2.0146731032597e-05,1.63825109668624e-05,"55829/51714/9403/6280/7295/6415/10549/348/2950",9
