"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PDLIM1",1.4316955543042e-19,0.263506826231996,0.466,0.345,5.36714029397558e-15
"CDC42SE1",1.6854687479079e-19,0.282955396087248,0.329,0.225,6.31848524215715e-15
"HNRNPA0",4.09144629125175e-19,0.285258692700103,0.628,0.528,1.53380138566446e-14
"PCIF1",4.2770731794056e-19,0.271847275159264,0.184,0.108,1.60338919349557e-14
"LSP1",7.68854043441481e-19,0.259221566022955,0.74,0.666,2.88228003805343e-14
"DDAH2",1.61675883381257e-18,0.254695163341311,0.286,0.19,6.06090551619655e-14
"IKZF1",2.51653683538821e-18,0.272490455166777,0.335,0.234,9.43399328850333e-14
"FMNL1",3.80207332554713e-18,0.2700728020327,0.345,0.242,1.42532124828111e-13
"CNOT1",8.3841827124355e-18,0.269317510803822,0.201,0.124,3.14306241523782e-13
"ADGRE5",1.17148311057111e-17,0.313165486229147,0.259,0.174,4.39165588490898e-13
"CAPN2",1.24525756203343e-17,0.274487456098583,0.211,0.135,4.66822154855093e-13
"RP5-1171I10.5",1.522092301957e-17,0.317238937438953,0.222,0.141,5.7060196215764e-13
"EIF4B",1.9896979311635e-17,0.271885433912959,0.574,0.467,7.45897960434574e-13
"MT-ND4L",2.62356306907188e-17,0.643128438541518,0.621,0.524,9.83521323333668e-13
"MYO1G",7.73393901125734e-17,0.288695398417524,0.308,0.217,2.89929905654015e-12
"DAPP1",9.01031223109118e-17,0.3800549635088,0.263,0.181,3.37778584919146e-12
"TRIR",1.13619579825861e-16,0.341297489593841,0.288,0.201,4.25937080851187e-12
"GABARAP",2.83019784321103e-16,0.376950923659833,0.306,0.221,1.06098456746295e-11
"C1orf56",5.39141436784903e-16,0.266145802447644,0.228,0.149,2.02113341821925e-11
"SNX2",1.37408199740425e-15,0.255910219054282,0.503,0.391,5.15115859186907e-11
"MKNK2",1.495880965399e-15,0.277204655859382,0.238,0.16,5.60775856308776e-11
"FAM96A",1.78942693890769e-15,0.279218249105919,0.393,0.306,6.70820370857714e-11
"LITAF",2.53534888842021e-15,0.31302474093724,0.435,0.347,9.5045159129097e-11
"RHOB",3.21617544926444e-15,0.375103842987555,0.256,0.178,1.20567985242025e-10
"IL10RA",7.2716888473383e-15,0.305962258305039,0.243,0.171,2.72601071509018e-10
"C6orf48",2.45096886648187e-14,0.259317319017627,0.57,0.476,9.18819208666725e-10
"ATP5F1E",3.69124815627462e-14,0.439332116882644,0.447,0.379,1.38377510882423e-09
"ANXA2",1.28614839983661e-13,0.315185642850381,0.341,0.27,4.82151312130747e-09
"THEMIS2",1.70075813079552e-13,0.287247402958195,0.218,0.152,6.37580208072624e-09
"S100A10",2.93584827787701e-13,0.435534274630875,0.442,0.375,1.10059080241053e-08
"SELENOW",5.01320284576404e-13,0.320284127524208,0.166,0.107,1.87934948282002e-08
"U2AF1L4",7.88364509034737e-13,0.257237648257831,0.219,0.154,2.95542087146942e-08
"LINC01781",1.06441681304352e-11,0.463073322833507,0.137,0.086,3.99028574873754e-07
"ATP5ME",1.9000542114802e-11,0.272370027321978,0.275,0.203,7.12292322799696e-07
"RACK1",4.00976320440259e-11,0.380032782317062,0.463,0.403,1.50318003006644e-06
"S100A4",1.07279058794376e-10,0.275377826131994,0.507,0.435,4.02167735608356e-06
"SVIP",3.0183587566353e-10,0.257460653343862,0.299,0.235,1.13152233068744e-05
"ATP5MC2",4.7105586989408e-10,0.252494795546397,0.412,0.337,1.76589424505893e-05
"BTG2",6.00547675206005e-10,0.28766710132597,0.487,0.413,2.25133312481227e-05
"CHMP1B",8.27705733122399e-10,0.426723341168285,0.277,0.213,3.10290325232925e-05
"SNHG15",4.98850403627267e-09,0.318206375602754,0.193,0.142,0.00018700903931179
"NME2",2.81176719177961e-08,0.295579125005202,0.172,0.126,0.00105407528485434
"ITGB2",3.77660964624557e-06,0.406920076613527,0.39,0.357,0.141577542418454
"RPS26",1.39583967708062e-05,0.287237041969497,0.876,0.898,0.523272378143982
"C7orf50",1.58656536828671e-05,0.252471833342578,0.328,0.292,0.594771625263322
"NR4A1",2.98352689308492e-05,0.277659774628878,0.137,0.105,1
"MTRNR2L12",0.000259873584371637,0.657825617986664,0.371,0.336,1
"AC090498.1",0.000517843178825835,0.530386344499221,0.493,0.517,1
"MTRNR2L8",0.000877128685288508,0.524068482246398,0.293,0.266,1
"AL928768.3",0.00389281630617256,0.250430139674565,0.174,0.147,1
