"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGKC",9.32261975298751e-17,2.29901112797546,0.881,0.815,3.49486369299996e-12
"CD59",1.00970659106384e-16,0.286795789432072,0.308,0.109,3.78518806858013e-12
"TECR",1.60491585089647e-16,0.300772768436358,0.573,0.26,6.0165085418407e-12
"EHMT1",5.03820919796185e-16,0.286760606419312,0.373,0.144,1.88872386413194e-11
"RASSF6",6.90231816280118e-16,0.25175996984537,0.195,0.056,2.58754103287091e-11
"TMED2",7.01229662089039e-16,0.538597633714531,0.735,0.386,2.62876975723939e-11
"SELENOM",9.43532377490013e-16,0.634478290934385,0.314,0.119,3.53711417673456e-11
"TXN",1.07848767351397e-15,0.357712002795824,0.622,0.287,4.04303459046917e-11
"LRPAP1",2.05033004494533e-15,0.32805134445755,0.557,0.254,7.68627727249104e-11
"CYTOR",3.52249179566823e-15,0.450220617474819,0.232,0.076,1.32051172436011e-10
"IGLC2",3.67764410936234e-15,3.0199528941652,0.8,0.558,1.37867522371775e-10
"UFM1",7.09333478906018e-15,0.332024592005529,0.541,0.256,2.65914934572288e-10
"SOCS3",7.14977390802345e-15,0.329494857823345,0.319,0.122,2.68030724263983e-10
"TENT5C",1.21440307075269e-14,0.280108110420115,0.265,0.093,4.55255423163769e-10
"SELM",2.7553020140344e-14,0.29303812671511,0.324,0.126,1.03290761902122e-09
"REEP5",2.88434451449575e-14,0.43537583306707,0.751,0.413,1.08128307159417e-09
"NPC2",2.95414493027185e-14,0.493369745886064,0.751,0.422,1.10744985146031e-09
"SSR1",4.85455778904921e-14,0.25053368771846,0.53,0.25,1.81987662395877e-09
"OTUD1",9.07851861871057e-14,0.331863253836901,0.286,0.105,3.40335505978222e-09
"IGLC3",1.14879771619343e-13,1.92157812552729,0.724,0.445,4.30661287846595e-09
"VSIR",2.19974434117434e-13,0.292676170366702,0.238,0.083,8.24640158619438e-09
"COPE",2.22149727743851e-13,0.488494156516652,0.805,0.472,8.32794899366148e-09
"ATP6V0B",5.01950120429134e-13,0.333836015049801,0.735,0.391,1.88171061146474e-08
"NEAT1",5.06609492196241e-13,0.43655501339001,0.757,0.441,1.89917766434527e-08
"SUB1",5.17700607373133e-13,0.613248036754293,0.881,0.637,1.9407560369204e-08
"IGLC6",9.05007483511806e-13,0.602324955451738,0.13,0.034,3.39269205418906e-08
"UQCRQ",9.48467399412254e-13,0.52524148601247,0.805,0.481,3.55561458691666e-08
"RPS27L",4.50533832786433e-12,0.30146961147597,0.784,0.436,1.68896123234978e-07
"IGHV3-7",7.28728808823668e-12,3.45811719518993,0.103,0.024,2.73185855851817e-07
"SERP1",5.65599237534851e-11,0.475995009029524,0.876,0.689,2.12031842167065e-06
"IGLC7",9.45384720585125e-11,3.65454822167591,0.162,0.053,3.54405824052952e-06
"BTG2",1.28391441945589e-10,0.428645034532197,0.686,0.415,4.81313837565625e-06
"PSAP",1.62657941831713e-10,0.347000676883069,0.735,0.43,6.09772092338724e-06
"Z93241.1",1.8386327312279e-10,0.306780024079378,0.114,0.031,6.89266638282715e-06
"SQSTM1",2.72327408254729e-10,0.274462432138213,0.595,0.317,1.02090098806533e-05
"IRF4",1.42463054370279e-09,0.26048851742343,0.189,0.071,5.34065498223303e-05
"IGLL1",1.50409915898952e-09,0.684676626590968,0.103,0.028,5.63856692721991e-05
"GUK1",4.14819491777619e-09,0.267606181206801,0.816,0.489,0.000155507531077594
"MTDH",1.07578037974359e-08,0.369443622875765,0.773,0.471,0.000403288548758279
"SELK",1.3768632122911e-08,0.551755108358117,0.405,0.232,0.000516158481023688
"CD27",1.47332553412604e-08,0.346109923242031,0.703,0.421,0.00055232027623317
"LGALS1",3.63794653783011e-08,0.266376406674389,0.584,0.339,0.00136379339810175
"ELOB",4.6225388200466e-08,0.325348884618236,0.438,0.241,0.00173289735285907
"CCDC144A",1.09912318912001e-06,0.3467796866177,0.135,0.053,0.0412039301137311
"TMBIM6",2.09544116115348e-06,0.346394686780006,0.832,0.614,0.0785538982493218
"RGS2",2.62723798506537e-06,0.546079091951957,0.438,0.264,0.0984898975841306
"CUTA",4.40276224010101e-06,0.282370044303429,0.762,0.511,0.165050750856907
"MTRNR2L1",0.00187520679249655,0.278560493445916,0.222,0.134,1
"VIM",0.00603755548670213,0.29519636004481,0.849,0.635,1
"CCL3",0.016364485173015,0.700591062856215,0.151,0.097,1
"IGHD",0.0443839147153701,1.97858181285912,0.308,0.322,1
"CD79A",0.773063296493616,0.475418008358809,0.914,0.936,1
