"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSPA1A",6.46485488456322e-218,3.81836034164121,0.959,0.167,2.42354479912506e-213
"HSPA1B",1.40656429165709e-179,3.27291929365133,0.907,0.172,5.27292821656409e-175
"DNAJB1",9.5451268140054e-157,3.47094268590948,0.936,0.239,3.57827714003434e-152
"CXCL8",2.93169193549599e-149,1.42328180021274,0.634,0.084,1.09903267277874e-144
"HSPH1",1.23081009468846e-135,2.18592146195504,0.721,0.13,4.6140608829681e-131
"IL1B",3.71449962349538e-117,0.951994018418903,0.372,0.037,1.39249161885595e-112
"HSPB1",5.09714870252183e-111,2.81725532170248,0.837,0.232,1.91081910560138e-106
"HSP90AA1",9.30587939754874e-109,3.72657166738768,0.994,0.64,3.48858806855307e-104
"SERPINH1",9.50731828270873e-94,0.81442476215109,0.18,0.011,3.56410347782185e-89
"HSPA6",3.31384035783397e-92,2.8817156940983,0.326,0.036,1.2422924733448e-87
"DNAJB4",1.4213430924292e-86,0.826954007850934,0.285,0.029,5.32833098489859e-82
"CACYBP",1.0214088265464e-78,1.67909315953425,0.733,0.223,3.82905740895713e-74
"FAM46A",1.25028530146703e-78,0.682196125455149,0.233,0.021,4.68706953813961e-74
"HSPE1",7.30223268686306e-71,1.97601585149096,0.895,0.474,2.73746098965122e-66
"HSPD1",1.03192756656004e-61,1.55976365284407,0.773,0.298,3.86849006152026e-57
"DNAJA1",6.15890695057391e-56,1.4704348786278,0.75,0.29,2.30885103763115e-51
"CXCL1",4.52062977303672e-55,0.473125020289964,0.198,0.022,1.694693689316e-50
"HSP90AB1",4.35649754272589e-53,1.40525853293826,0.948,0.705,1.63316379881708e-48
"DNAJA4",1.09512176010494e-50,0.533770897630378,0.145,0.013,4.1053924542814e-46
"S100A9",4.07539776002463e-50,0.925818522137318,0.57,0.159,1.52778511227803e-45
"G0S2",8.79960663753154e-48,0.733410502455273,0.244,0.036,3.29879653627782e-43
"ZNF90",1.78463397927703e-44,1.13847193924112,0.802,0.345,6.69023586151372e-40
"CD83",2.56489731433962e-42,1.27786789554007,0.82,0.36,9.61528705199638e-38
"TCL1A",4.85370881674784e-42,0.953622276230047,0.86,0.332,1.81955836122243e-37
"S100A8",4.61653464396506e-40,0.75552908107269,0.541,0.165,1.73064650732962e-35
"FKBP4",3.30952513556203e-39,1.25979914820409,0.343,0.08,1.24067478281949e-34
"HSPA8",3.54151317129205e-36,1.28523109604406,0.907,0.697,1.32764245765396e-31
"NBEAL1",9.24978908335602e-36,0.988929022371681,0.913,0.588,3.46756093156851e-31
"RPL37A",9.75376018747115e-36,0.711026364119162,0.988,0.948,3.65648961907919e-31
"CHORDC1",2.48913120625233e-35,0.735800944658543,0.407,0.111,9.33125506599873e-31
"LNPEP",9.11864777081173e-35,0.872133804274662,0.512,0.17,3.4183986763219e-30
"FCER2",1.31913395179624e-33,1.05189199388154,0.68,0.276,4.94516935849373e-29
"CHI3L2",1.76424190582643e-33,1.08295872166158,0.535,0.186,6.61379005656212e-29
"EBLN3",2.38007630037084e-33,0.929012248692767,0.512,0.179,8.92243003483019e-29
"IL4R",4.10597099325859e-33,1.0884333820237,0.512,0.174,1.53924640595278e-28
"GGA2",2.13708706272002e-32,0.939394949605657,0.686,0.293,8.01151198072482e-28
"TAF1A",2.79469836375672e-32,0.399213716601799,0.151,0.021,1.04767652260512e-27
"RPL37",6.51856275024695e-32,0.584671149561117,1,0.985,2.44367880381258e-27
"IER5",2.77277264036991e-31,1.36690265481016,0.494,0.177,1.03945700742187e-26
"AHSA1",3.13099675066791e-30,0.90649186981877,0.471,0.167,1.17374806189039e-25
"TSC22D1",3.40478350468437e-30,0.65514417285985,0.192,0.034,1.27638524023608e-25
"RPS20",1.09006248864491e-29,0.689854919734826,0.988,0.85,4.08642625743205e-25
"UBB",1.62359054308882e-27,0.849908553013635,0.942,0.839,6.08651622793137e-23
"ATP5E",2.73826075688083e-27,0.87707131404326,0.901,0.542,1.02651919253948e-22
"RPL38",9.98920401150755e-27,0.659319282393811,0.988,0.931,3.74475279983395e-22
"CXCL3",1.65026211870424e-26,0.355313550299666,0.128,0.018,6.18650263059845e-22
"RPS17",2.12065846192039e-26,0.688953240333928,0.983,0.809,7.94992444204716e-22
"DEDD2",4.99381045571557e-26,0.754434183109871,0.413,0.141,1.87207966363865e-21
"RPS11",4.06117051225673e-25,0.603623065883478,0.994,0.945,1.5224516016348e-20
"GLTSCR2",4.31236178894248e-25,0.829892407444264,0.89,0.527,1.61661818743876e-20
"IFI44L",5.70145041395668e-25,0.610661864871232,0.424,0.138,2.13735973118408e-20
"HLA-DMB",1.09216696472916e-24,0.824271941453544,0.878,0.554,4.09431551737669e-20
"GCNT1",1.33796769880513e-24,0.381953869051209,0.163,0.029,5.01577330928069e-20
"CCL3",1.85293221107445e-24,0.487870632342457,0.326,0.096,6.9462722728759e-20
"RPL28",3.3137692952105e-24,0.437115234118303,1,0.997,1.24226583338851e-19
"NACA2",5.39127040191632e-24,0.663678483619727,0.541,0.219,2.02107944827039e-19
"XAF1",1.57889278521407e-23,0.715852355813637,0.384,0.129,5.91895327321052e-19
"AC090498.1",4.01866058146181e-23,0.652166717560345,0.89,0.514,1.5065154787784e-18
"RP11-255M2.3",8.885095474374e-23,0.610848304427727,0.471,0.178,3.33084459143332e-18
"STAG3",1.42929408963693e-22,0.97422333204873,0.453,0.177,5.35813768323091e-18
"CD200",1.01613785249073e-21,0.513355330814646,0.221,0.054,3.80929758141725e-17
"MYLIP",1.19950935928823e-21,0.892566507998573,0.401,0.149,4.49672068609973e-17
"DDIT3",1.24298807351706e-21,0.578433998928242,0.308,0.095,4.65971369000075e-17
"PLAUR",1.42575539480494e-21,0.375794855256279,0.169,0.035,5.34487182404475e-17
"GADD45B",1.97248747555998e-21,1.29288561298015,0.552,0.272,7.39446104837926e-17
"RPL31",2.69834364086651e-21,0.560722908905018,0.994,0.941,1.01155506408804e-16
"MALAT1",4.69505131826281e-21,0.539537615623471,1,0.992,1.76008083819036e-16
"CD48",5.16543549934067e-21,0.733689055241388,0.866,0.584,1.93641845999283e-16
"RP11-231C14.7",1.18052390111452e-20,0.566096576777424,0.436,0.16,4.4255480004981e-16
"CLK1",2.09094453520155e-20,0.800249140989918,0.599,0.305,7.83853287356357e-16
"CD79B",4.50117384321179e-20,0.624785059393663,0.942,0.766,1.68740005034324e-15
"CWF19L2",5.95161469514894e-20,0.657365376414253,0.372,0.137,2.23114131691743e-15
"ATP5G2",7.09778338097427e-20,0.674013967341584,0.826,0.478,2.66081703385964e-15
"MRPL18",2.30298606597514e-19,0.784226645839138,0.442,0.194,8.6334341641276e-15
"MUM1",4.38462062538874e-19,0.535668593014977,0.297,0.095,1.64370658004573e-14
"PMAIP1",3.51950409878493e-18,0.736540636543596,0.552,0.27,1.31939169655249e-13
"NHSL2",6.41605015317026e-18,0.571569576486497,0.395,0.157,2.40524888142047e-13
"HLA-DQA1",7.39511959414029e-18,0.593065149449282,0.988,0.804,2.77228243345131e-13
"TPT1",1.19864300523599e-17,0.395467035029233,1,0.988,4.49347289802869e-13
"GNB2L1",1.28117686179277e-17,0.668151447913592,0.919,0.568,4.80287581948873e-13
"CD72",1.437271258521e-17,0.646372243982354,0.494,0.221,5.38804249394354e-13
"RPL23",2.51923774700771e-17,0.551238432381382,0.971,0.885,9.44411846598249e-13
"KIAA0922",2.69262680863299e-17,0.448576516715787,0.203,0.055,1.00941193802033e-12
"KCNG1",4.74021747470326e-17,0.330016132577444,0.122,0.023,1.77701272691676e-12
"MOB3C",5.15414170540458e-17,0.379332857856772,0.11,0.02,1.93218464252207e-12
"IL1RN",6.86054094772853e-17,0.26916658072136,0.116,0.022,2.57187959048447e-12
"NFKBIE",6.93078086079985e-17,0.609049841878942,0.285,0.099,2.59821112909665e-12
"IFI16",7.60150315549539e-17,0.630816158263631,0.698,0.407,2.84965150293211e-12
"FAM159A",7.74553596423558e-17,0.545268848068509,0.256,0.082,2.90364652227264e-12
"C11orf31",7.79948677811396e-17,0.653068220291891,0.669,0.372,2.92387160337936e-12
"CCL20",1.07471903318448e-16,0.273520342093351,0.105,0.019,4.02890671160197e-12
"RPL36A",1.59869559783475e-16,0.532399125019768,0.977,0.879,5.99319005716292e-12
"PLEKHA2",2.66994576248077e-16,0.598315188846744,0.372,0.151,1.00090926743879e-11
"QSOX2",4.1448549194615e-16,0.339206312197927,0.18,0.047,1.55382321220773e-11
"IGHE",9.37008197411062e-16,0.492609419793816,0.11,0.021,3.51265633045459e-11
"STK17A",1.74738826678643e-15,0.674023618401995,0.773,0.507,6.55060913452897e-11
"C19orf43",2.76740942518088e-15,0.587674537490993,0.663,0.37,1.03744644531181e-10
"SESN1",3.12741767219022e-15,0.414122313558453,0.186,0.052,1.17240633695067e-10
"PIK3IP1",3.67876587093647e-15,0.731455028141078,0.442,0.208,1.37909574969666e-10
"CAMK2D",4.51710174362022e-15,0.506816587583373,0.273,0.096,1.69337110164835e-10
"TCP1",4.76539302447134e-15,0.702016798863133,0.453,0.225,1.78645053701382e-10
