"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSP90AA1",9.49749219390454e-46,0.264058670306759,0.829,0.634,3.56041987365093e-41
"PPP1R2",1.39830439381365e-45,0.378196365928859,0.544,0.335,5.24196351152863e-41
"GNLY",1.71180810719129e-45,1.61161198875675,0.212,0.095,6.41722623223871e-41
"VMP1",1.82377439259455e-45,0.315473957744355,0.349,0.184,6.83696544295847e-41
"CCNH",2.95285574269712e-45,0.368054121641703,0.35,0.184,1.1069665608223e-40
"KDSR",4.13264266498872e-45,0.258125177899979,0.171,0.066,1.54924508225097e-40
"CDKN1B",4.43569341536541e-45,0.318916490487317,0.289,0.141,1.66285274755219e-40
"NMRK1",4.58717641356743e-45,0.299446422260419,0.228,0.104,1.71964069391816e-40
"EMB",6.56531018096645e-45,0.307517777227959,0.405,0.22,2.4612034806407e-40
"MAGEH1",1.18753607299534e-44,0.382075827149465,0.196,0.085,4.45183523044493e-40
"PIM1",1.19070602076322e-44,0.328576590914191,0.242,0.114,4.46371873063715e-40
"EFHD2",1.21775638349713e-44,0.26562660690332,0.216,0.094,4.56512513045405e-40
"HLA-F",1.52787169905008e-44,0.320984478156007,0.598,0.374,5.72768542539894e-40
"SIT1",2.08594729985535e-44,0.337327397185705,0.399,0.215,7.81979923769774e-40
"ACTN4",2.25023716634602e-44,0.332995276943525,0.28,0.137,8.43568908919795e-40
"ANKRD12",2.52619548344909e-44,0.375374679436595,0.624,0.414,9.47020162835396e-40
"SNX6",2.96787500918557e-44,0.321027925198444,0.351,0.184,1.11259698344349e-39
"CSRNP1",3.97035370370285e-44,0.278051843131306,0.258,0.12,1.48840619644412e-39
"SHISA5",5.4243299405964e-44,0.333628592397814,0.424,0.239,2.03347280813078e-39
"ADGRE5",7.00310298589199e-44,0.306253139219599,0.332,0.172,2.62532324735119e-39
"TAP1",1.24862077193153e-43,0.346139429387934,0.496,0.3,4.68082954981691e-39
"GOLGA7",1.38882212879825e-43,0.285976639575428,0.26,0.124,5.20641639643887e-39
"NEAT1",2.16513892468482e-43,0.566421851456189,0.634,0.435,8.11667280085847e-39
"RHOG",2.30284594437514e-43,0.337003972215625,0.545,0.33,8.63290887627351e-39
"CFLAR",4.27133594907465e-43,0.373610966229827,0.444,0.265,1.6012384205891e-38
"SELENOW",5.299869647732e-43,0.462602335198589,0.227,0.105,1.98681513354177e-38
"LRRFIP1",6.53506777057652e-43,0.279673701872139,0.561,0.338,2.44986620583373e-38
"BHLHE40",1.47630461139864e-42,0.265522744796786,0.146,0.054,5.53437072721121e-38
"APOL6",1.53566219654943e-42,0.259933654568632,0.174,0.071,5.75689044242452e-38
"TSPYL2",1.83672654029546e-42,0.280357209316337,0.258,0.121,6.88552045425964e-38
"WIPF1",7.55864116498219e-42,0.304433399988247,0.527,0.316,2.83358339992852e-37
"ARHGEF1",1.21152196623151e-41,0.324922626470759,0.494,0.29,4.54175354700869e-37
"ISG15",1.69391446059742e-41,0.721433932314502,0.485,0.313,6.35014652988761e-37
"PRPF38B",2.44265349681262e-41,0.2893190575112,0.514,0.309,9.15701942885116e-37
"MLLT6",4.08093361120824e-41,0.2644255623491,0.218,0.097,1.52986039216974e-36
"PRDX2",6.72515857365902e-41,0.356054212942575,0.438,0.264,2.52112744609329e-36
"CELF2",7.29806387869544e-41,0.310209162868241,0.415,0.234,2.73589818684535e-36
"IFI44",9.76436165515637e-41,0.289981505119557,0.151,0.058,3.66046389728502e-36
"CASP1",2.67088319634578e-40,0.286619426074308,0.279,0.138,1.00126069264611e-35
"ANKRD11",3.77679751565415e-40,0.254694222089498,0.291,0.146,1.41584585266843e-35
"GUK1",3.85955563495124e-40,0.416630214276876,0.683,0.483,1.44687021643052e-35
"NR3C1",3.95919398677367e-40,0.374099281930039,0.352,0.193,1.48422264176171e-35
"EMP3",6.6800512001821e-40,0.377105694547581,0.687,0.485,2.50421759392426e-35
"DNAJB6",1.01549258445891e-39,0.349097305296108,0.419,0.245,3.80687860061956e-35
"DYNLT1",1.04653366480868e-39,0.335833363543598,0.314,0.169,3.9232454026348e-35
"STK4",1.1950319684513e-39,0.308328127419814,0.647,0.424,4.47993584333024e-35
"C9orf78",1.89131674241247e-39,0.272087941828535,0.435,0.249,7.09016820395587e-35
"PTPN7",2.03117596904239e-39,0.29544363942431,0.417,0.24,7.61447247274612e-35
"SUN2",2.13110043958452e-39,0.25501717311322,0.378,0.204,7.98906932791445e-35
"CSTB",6.32643485082216e-39,0.348166989291905,0.614,0.409,2.37165389687621e-34
"IFITM2",8.20228338614979e-39,0.377218208187326,0.78,0.573,3.07487199579983e-34
"TSPO",1.43729921796915e-38,0.317542959014792,0.543,0.349,5.38814730832274e-34
"ZFAND5",2.04099607131855e-38,0.272981254761006,0.317,0.169,7.65128607215896e-34
"CLPP",2.20394225737912e-38,0.290675883350473,0.331,0.184,8.26213873446283e-34
"AKAP13",4.11275613143743e-38,0.29798443378826,0.474,0.286,1.54179001855326e-33
"ARL6IP5",8.16666303484203e-38,0.344025147915092,0.704,0.5,3.06151863850158e-33
"IFI6",1.09000883564379e-37,0.592960476949235,0.362,0.213,4.08622512306145e-33
"NINJ1",1.48406305918938e-37,0.297224274980643,0.162,0.068,5.56345559628913e-33
"TRAF3IP3",2.01966561559647e-37,0.269683296356753,0.571,0.357,7.57132245974805e-33
"RASAL3",4.0767145873858e-37,0.252431940233224,0.324,0.171,1.52827876451919e-32
"SOCS1",4.57605356279206e-37,0.273286701363492,0.319,0.169,1.71547095961949e-32
"SRSF7",5.68571130680706e-37,0.357139533026964,0.723,0.524,2.13145945469583e-32
"C19orf66",8.38135000993114e-37,0.280100625417905,0.391,0.225,3.14200049172299e-32
"CCDC107",1.20057544781762e-36,0.286400479540423,0.351,0.199,4.50071723877871e-32
"MYO1F",1.37620246260613e-36,0.251839166375203,0.243,0.117,5.15910779181786e-32
"GLG1",2.023275242374e-36,0.26619392223184,0.267,0.137,7.58485422861166e-32
"FOSB",2.23167507561785e-36,0.295963677328374,0.514,0.324,8.36610352347619e-32
"VDAC3",6.091579910905e-36,0.266564226326059,0.288,0.153,2.28361147700006e-31
"TPR",7.37429085840968e-36,0.314222590949643,0.423,0.253,2.76447415700062e-31
"TAX1BP1",9.07142626056854e-36,0.27365908813062,0.421,0.252,3.40069627656193e-31
"SURF4",1.55857423398162e-35,0.35939628719097,0.26,0.14,5.84278308835028e-31
"G3BP2",1.72237703265282e-35,0.260043404986877,0.355,0.198,6.4568470200089e-31
"SAMSN1",3.96168068651969e-35,0.301901798029454,0.389,0.23,1.4851548557625e-30
"SEM1",4.20512444570769e-35,0.411832564625201,0.267,0.142,1.5764170522069e-30
"CYTOR",5.6692376965759e-35,0.494048845992784,0.165,0.073,2.12528382769237e-30
"C4orf48",7.92974634734102e-35,0.331632878047719,0.365,0.216,2.9727033106912e-30
"MRPS6",8.80450891039934e-35,0.331388468761231,0.362,0.211,3.30063430033051e-30
"CMC1",9.96690631101977e-35,0.488023575996022,0.203,0.099,3.73639383787509e-30
"PA2G4",1.20547677403846e-34,0.288892509215299,0.449,0.274,4.51909133051539e-30
"PAK2",2.053808817464e-34,0.263971912063785,0.372,0.211,7.69931849490904e-30
"H2AFZ",2.15881875484641e-34,0.34906747703869,0.629,0.439,8.09297974816824e-30
"RBM25",2.39489858664509e-34,0.287407947672774,0.502,0.317,8.9779958216151e-30
"ANXA2",2.46353269918597e-34,0.374220321950547,0.425,0.267,9.23529138270837e-30
"RPL36AL",2.96714028460196e-34,0.289937183205547,0.934,0.844,1.11232154989158e-29
"TMA7",3.52228248707767e-34,0.288224487337792,0.938,0.845,1.32043325875568e-29
"PSMC5",7.39404439574022e-34,0.267793707809223,0.446,0.271,2.77187936307509e-29
"MTRNR2L8",1.5536685992277e-33,0.720345602923942,0.413,0.261,5.82439284478479e-29
"TXN",2.05141129645716e-33,0.338295360912399,0.441,0.283,7.69033066815859e-29
"ACAP1",2.96129095166654e-33,0.2826271804283,0.716,0.508,1.11012875196075e-28
"CIB1",3.56603369124179e-33,0.261185855234583,0.686,0.475,1.33683471017272e-28
"ELOB",6.61914680981117e-33,0.481604084371339,0.379,0.236,2.48138575606201e-28
"PTMS",8.48593308941865e-33,0.258675892293207,0.124,0.049,3.18120659656126e-28
"EID1",1.14503803837745e-32,0.30841564342818,0.624,0.43,4.29251859826938e-28
"EPC1",1.21683415146919e-32,0.268022966242476,0.507,0.318,4.56166786702769e-28
"SBDS",1.23149062252582e-32,0.288116299442878,0.388,0.233,4.61661204572481e-28
"JAK1",2.19515459061591e-32,0.286973521304701,0.552,0.357,8.22919552930094e-28
"CNBP",3.55153013430371e-32,0.324792810270143,0.775,0.595,1.33139761674777e-27
"RAP1A",7.02814623669063e-32,0.298762014445057,0.514,0.336,2.63471146121058e-27
"HP1BP3",8.20144636378285e-32,0.291751102379948,0.377,0.222,3.07455821285491e-27
